,Year,Month,VWAP per month
0,2017,1,Data Not Given
1,2017,2,Data Not Given
2,2017,3,Data Not Given
3,2017,4,Data Not Given
4,2017,5,Data Not Given
5,2017.0,6.0,1400.5609479773493
6,2017.0,7.0,1386.0226836708193
7,2017.0,8.0,1380.5038473584739
8,2017.0,9.0,1286.6429908845694
9,2017.0,10.0,1337.9787305650082
10,2017.0,11.0,1398.5544047038943
11,2017.0,12.0,1258.877425305837
12,2018.0,1.0,758.4329591571351
13,2018.0,2.0,745.5175678685114
14,2018.0,3.0,734.2026682545353
15,2018.0,4.0,803.699451852152
16,2018.0,5.0,867.3877651257916
17,2018.0,6.0,906.2392725369966
18,2018.0,7.0,915.666775322129
19,2018.0,8.0,950.829344172212
20,2018.0,9.0,924.3178337212019
21,2018.0,10.0,763.5588693329072
22,2018.0,11.0,772.2768645501396
23,2018.0,12.0,754.5404830570434
24,2019.0,1.0,714.5578180928886
25,2019.0,2.0,654.5104129980488
26,2019.0,3.0,674.6732994659233
27,2019.0,4.0,667.4045921417244
28,2019,5,Data Not Given
29,2019,6,Data Not Given
30,2019,7,Data Not Given
31,2019,8,Data Not Given
32,2019,9,Data Not Given
33,2019,10,Data Not Given
34,2019,11,Data Not Given
35,2019,12,Data Not Given
